"station_id","longitude","latitude","ULGridName","URGridName","LLGridName","LRGridName"
"CD1",-0.175284,51.544219,"london_grid_410","london_grid_431","london_grid_409","london_grid_430"
"BL0",-0.125848,51.522287,"london_grid_410","london_grid_431","london_grid_409","london_grid_430"
"GR4",0.070766,51.45258,"london_grid_430","london_grid_451","london_grid_429","london_grid_450"
"MY7",-0.15459,51.52254,"london_grid_410","london_grid_431","london_grid_409","london_grid_430"
"HV1",0.205460706,51.52078746,"london_grid_473","london_grid_494","london_grid_472","london_grid_493"
"GN3",0.095111,51.486957,"london_grid_430","london_grid_451","london_grid_429","london_grid_450"
"GR9",0.040725,51.456357,"london_grid_430","london_grid_451","london_grid_429","london_grid_450"
"LW2",-0.039641,51.474954,"london_grid_430","london_grid_451","london_grid_429","london_grid_450"
"GN0",0.074003,51.490532,"london_grid_430","london_grid_451","london_grid_429","london_grid_450"
"KF1",-0.21349214,51.52104675,"london_grid_389","london_grid_410","london_grid_388","london_grid_409"
"CD9",-0.129053205,51.52770662,"london_grid_410","london_grid_431","london_grid_409","london_grid_430"
"ST5",-0.141661525,51.3892869,"london_grid_408","london_grid_429","london_grid_407","london_grid_428"
"TH4",-0.008418493,51.51504617,"london_grid_431","london_grid_452","london_grid_430","london_grid_451"
